timestamp,abs_code,value
1770524617.757199,16,586
1770524617.757199,17,164
1770524617.767071,16,1023
1770524617.767071,17,1023
1770524618.247079,16,580
1770524618.247079,17,52
1770524618.265093,16,1023
1770524618.265093,17,1023
1770524618.358173,16,235
1770524618.358173,17,165
1770524618.367116,16,1023
1770524618.367116,17,1023
1770524618.597554,16,564
1770524618.597554,17,220
1770524618.599065,16,1023
1770524618.599065,17,1023
1770524618.721076,16,80
1770524618.721076,17,216
1770524618.738166,16,1023
1770524618.738166,17,1023
1770524618.742118,16,738
1770524618.742118,17,554
1770524618.778119,16,1023
1770524618.778119,17,1023
1770524618.784148,16,725
1770524618.784148,17,531
1770524618.801076,16,413
1770524618.801076,17,301
1770524618.803078,16,1023
1770524618.803078,17,1023
1770524621.177074,16,112
1770524621.177074,17,680
1770524621.198084,16,1023
1770524621.198084,17,1023
1770524621.91633,16,532
1770524621.91633,17,757
1770524621.957113,16,1023
1770524621.957113,17,1023
1770524623.583086,16,742
1770524623.583086,17,45
1770524623.601104,16,1023
1770524623.601104,17,1023
1770524624.001096,16,594
1770524624.001096,17,326
1770524624.019126,16,1023
1770524624.019126,17,1023
1770524624.133143,16,317
1770524624.133143,17,67
1770524624.17708,16,1023
1770524624.17708,17,1023
1770524626.037108,16,514
1770524626.037108,17,117
1770524626.056137,16,1023
1770524626.056137,17,1023
1770524627.023133,16,56
1770524627.023133,17,288
1770524627.057955,16,1023
1770524627.057955,17,1023
1770524627.05796,16,480
1770524627.05796,17,504
1770524627.05796,18,440
1770524627.05796,19,522
1770524627.063096,16,1023
1770524627.063096,17,1023
1770524627.063096,18,1023
1770524627.063096,19,1023
1770524627.118084,16,680
1770524627.118084,17,432
1770524627.125084,16,1023
1770524627.125084,17,1023
1770524627.560079,16,731
1770524627.560079,17,594
1770524627.560079,18,79
1770524627.560079,19,234
1770524627.59808,16,1023
1770524627.59808,17,1023
1770524627.59808,18,67
1770524627.59808,19,465
1770524627.598085,16,118
1770524627.598085,17,251
1770524627.598085,18,120
1770524627.598085,19,272
1770524627.598085,20,791
1770524627.598085,21,646
1770524627.601085,16,1023
1770524627.601085,17,1023
1770524627.601085,18,1023
1770524627.601085,19,1023
1770524627.601085,20,1023
1770524627.601085,21,1023
1770524627.841092,16,862
1770524627.841092,17,759
1770524627.841099,16,1023
1770524627.841099,17,1023
1770524627.920094,16,877
1770524627.920094,17,759
1770524627.971601,16,1023
1770524627.971601,17,1023
1770524628.402079,16,308
1770524628.402079,17,4
1770524628.43809,16,1023
1770524628.43809,17,1023
1770524629.697241,16,520
1770524629.697241,17,8
1770524629.706174,16,1023
1770524629.706174,17,1023
1770524632.758108,16,240
1770524632.758108,17,552
1770524632.760079,16,1023
1770524632.760079,17,1023
1770524633.657077,16,482
1770524633.657077,17,16
1770524633.657082,16,1023
1770524633.657082,17,1023
1770524633.842637,16,252
1770524633.842637,17,634
1770524633.850078,16,1023
1770524633.850078,17,1023
1770524634.797264,16,164
1770524634.797264,17,457
1770524634.797278,16,1023
1770524634.797278,17,1023
1770524635.045079,16,402
1770524635.045079,17,20
1770524635.06208,16,1023
1770524635.06208,17,1023
1770524636.781078,16,824
1770524636.781078,17,272
1770524636.798076,16,1023
1770524636.798076,17,1023
1770524636.842083,16,448
1770524636.842083,17,296
1770524636.842091,16,1023
1770524636.842091,17,1023
1770524637.017073,16,32
1770524637.017073,17,586
1770524637.017078,16,1023
1770524637.017078,17,1023
1770524638.037077,16,164
1770524638.037077,17,212
1770524638.039088,16,1023
1770524638.039088,17,1023
1770524638.717118,16,634
1770524638.717118,17,18
1770524638.721134,16,1023
1770524638.721134,17,1023
1770524638.780147,16,209
1770524638.780147,17,51
1770524638.782126,16,1023
1770524638.782126,17,1023
1770524639.17966,16,352
1770524639.17966,17,719
1770524639.197436,16,1023
1770524639.197436,17,1023
1770524639.24019,16,984
1770524639.24019,17,214
1770524639.260068,16,1023
1770524639.260068,17,1023
1770524639.622106,16,328
1770524639.622106,17,619
1770524639.625134,16,336
1770524639.625134,17,563
1770524639.658085,16,1023
1770524639.658085,17,1023
1770524639.841108,16,445
1770524639.841108,17,572
1770524639.849089,16,1023
1770524639.849089,17,1023
1770524640.079093,16,296
1770524640.079093,17,148
1770524640.079099,16,1023
1770524640.079099,17,1023
1770524640.498085,16,494
1770524640.498085,17,367
1770524640.516347,16,1023
1770524640.516347,17,1023
1770524641.518086,16,181
1770524641.518086,17,73
1770524641.522168,16,1023
1770524641.522168,17,1023
1770524641.72117,16,511
1770524641.72117,17,13
1770524641.759131,16,504
1770524641.759131,17,760
1770524641.759131,18,489
1770524641.759131,19,231
1770524641.759147,16,1023
1770524641.759147,17,1023
1770524641.759147,18,490
1770524641.759147,19,232
1770524641.766096,18,1023
1770524641.766096,19,1023
1770524642.237359,16,199
1770524642.237359,17,176
1770524642.243115,16,1023
1770524642.243115,17,1023
1770524642.539083,16,34
1770524642.539083,17,613
1770524642.546074,16,1023
1770524642.546074,17,1023
1770524642.98125,16,59
1770524642.98125,17,114
1770524642.981254,16,1023
1770524642.981254,17,1023
1770524643.017484,16,52
1770524643.017484,17,11
1770524643.017489,16,130
1770524643.017489,17,212
1770524643.023109,16,1023
1770524643.023109,17,1023
1770524643.399107,16,512
1770524643.399107,17,408
1770524643.437131,16,1023
1770524643.437131,17,1023
1770524643.440091,16,852
1770524643.440091,17,192
1770524643.440096,16,686
1770524643.440096,17,2
1770524643.440096,18,848
1770524643.440096,19,216
1770524643.45712,16,1023
1770524643.45712,17,1023
1770524643.45712,18,1023
1770524643.45712,19,1023
1770524643.799086,16,910
1770524643.799086,17,476
1770524643.806076,16,518
1770524643.806076,17,221
1770524643.825072,16,1023
1770524643.825072,17,1023
1770524644.230091,16,472
1770524644.230091,17,385
1770524644.277104,16,1023
1770524644.277104,17,1023
1770524644.27908,16,549
1770524644.27908,17,204
1770524644.283086,16,1023
1770524644.283086,17,1023
1770524644.656097,16,268
1770524644.656097,17,640
1770524644.656103,16,1023
1770524644.656103,17,1023
1770524644.700094,16,224
1770524644.700094,17,280
1770524644.707076,16,1023
1770524644.707076,17,1023
1770524645.069075,16,440
1770524645.069075,17,643
1770524645.121638,16,1023
1770524645.121638,17,1023
1770524645.130079,16,228
1770524645.130079,17,470
1770524645.139077,16,1023
1770524645.139077,17,1023
1770524645.422079,16,215
1770524645.422079,17,459
1770524645.440097,16,220
1770524645.440097,17,460
1770524645.440097,18,186
1770524645.440097,19,574
1770524645.443067,16,1023
1770524645.443067,17,1023
1770524645.443067,18,1023
1770524645.443067,19,1023
1770524645.478093,16,219
1770524645.478093,17,463
1770524645.484079,16,1023
1770524645.484079,17,1023
1770524645.789105,16,216
1770524645.789105,17,456
1770524645.800073,16,209
1770524645.800073,17,464
1770524645.842108,16,440
1770524645.842108,17,656
1770524645.846656,16,1023
1770524645.846656,17,1023
1770524646.267144,16,208
1770524646.267144,17,483
1770524646.280103,16,1023
1770524646.280103,17,1023
1770524646.558072,16,188
1770524646.558072,17,456
1770524646.564141,16,189
1770524646.564141,17,461
1770524646.564141,18,167
1770524646.564141,19,576
1770524646.56712,16,1023
1770524646.56712,17,1023
1770524646.56712,18,1023
1770524646.56712,19,1023
1770524647.277108,16,150
1770524647.277108,17,571
1770524647.27909,16,1023
1770524647.27909,17,1023
1770524647.282206,16,91
1770524647.282206,17,747
1770524647.300082,16,1023
1770524647.300082,17,1023
1770524647.959353,16,325
1770524647.959353,17,709
1770524647.961109,16,1023
1770524647.961109,17,1023
1770524648.299072,16,93
1770524648.299072,17,555
1770524648.317678,16,1023
1770524648.317678,17,1023
1770524648.377083,16,100
1770524648.377083,17,558
1770524648.379084,16,251
1770524648.379084,17,702
1770524648.431094,16,1023
1770524648.431094,17,1023
1770524648.657087,16,278
1770524648.657087,17,699
1770524648.660139,16,1023
1770524648.660139,17,1023
1770524648.660139,18,54
1770524648.660139,19,754
1770524648.664101,18,1023
1770524648.664101,19,1023
1770524648.684087,16,85
1770524648.684087,17,524
1770524648.702044,16,1023
1770524648.702044,17,1023
1770524648.976134,16,489
1770524648.976134,17,713
1770524648.979364,16,1023
1770524648.979364,17,1023
